Basket,Confidence (Prod1 => Prod2),Confidence (Prod2 => Prod1),Lift,Basket Support,Total Transactions
Sữa rửa mặt - Tẩy trang,20.10%,47.32%,1.63,5.85%,203
Phấn - Kem nền,65.30%,27.09%,3.51,5.04%,175
Dưỡng chất căng mướt da - Kem dưỡng,12.53%,75.36%,2.10,4.49%,156
Sữa rửa mặt - Kem chống nắng,36.13%,28.28%,2.29,4.47%,155
Kem lót - Kem nền,16.10%,104.00%,5.59,3.00%,104
Dưỡng chất căng mướt da - Serum,12.65%,40.58%,2.12,2.42%,84
Dưỡng chất căng mướt da - Kem chống nắng,12.59%,33.33%,2.11,1.99%,69
Mascara - Son,10.82%,37.71%,2.15,1.90%,66
Mascara - Phấn,23.13%,35.43%,4.59,1.79%,62
Nước hoa - Tẩy trang,6.14%,50.41%,1.73,1.79%,62
Mascara - Kem nền,33.71%,9.13%,1.81,1.70%,59
Dưỡng chất căng mướt da - Sữa rửa mặt,12.82%,26.57%,2.15,1.58%,55
Dầu xả - Dầu gội,92.98%,52.48%,31.95,1.53%,53
Bút Cushion che khuyết điểm - Kem nền,7.89%,65.38%,3.51,1.47%,51
Bút kẻ mắt - Phấn,18.66%,54.95%,7.12,1.44%,50
Bút kẻ mắt - Mascara,28.00%,53.85%,10.68,1.41%,49
Bút Cushion che khuyết điểm - Phấn,17.16%,58.97%,7.64,1.33%,46
Bút kẻ mắt - Son,7.05%,47.25%,2.69,1.24%,43
Bút kẻ mắt - Kem nền,6.35%,45.05%,2.42,1.18%,41
Nước hoa - Sữa rửa mặt,9.32%,32.52%,2.63,1.15%,40
Bút Cushion che khuyết điểm - Son,6.39%,50.00%,2.85,1.12%,39
Kem lót - Phấn,13.81%,37.00%,4.79,1.07%,37
Mặt nạ - Serum,5.57%,42.53%,2.22,1.07%,37
Nước hoa - Kem chống nắng,28.46%,6.39%,1.80,1.01%,35
Kem che khuyết điểm - Son,5.57%,80.95%,4.61,0.98%,34
Hoạt chất tươi trẻ da chống lão hóa - Kem dưỡng,2.57%,76.19%,2.12,0.92%,32
Kem che khuyết điểm - Phấn,11.57%,73.81%,9.56,0.89%,31
Tinh chất tăng cường dưỡng da - Sữa rửa mặt,25.66%,6.76%,2.08,0.84%,29
Kem ủ - Dầu gội,75.00%,26.73%,25.77,0.78%,27
Mặt nạ - Kem chống nắng,27.59%,4.38%,1.75,0.69%,24
Kem che khuyết điểm - Kem nền,3.56%,54.76%,2.94,0.66%,23
Chì kẻ mày - Phấn,8.21%,55.00%,7.12,0.63%,22
Mặt nạ - Sữa rửa mặt,4.90%,24.14%,1.95,0.61%,21
Dầu gội - Sữa rửa mặt,4.43%,18.81%,1.52,0.55%,19
Kem ủ - Dầu xả,52.78%,33.33%,32.14,0.55%,19
Chì kẻ mày - Kem nền,2.63%,42.50%,2.28,0.49%,17
Chì kẻ mày - Mascara,9.71%,42.50%,8.43,0.49%,17
Tinh chất tăng cường dưỡng da - Dưỡng chất căng mướt da,15.04%,8.21%,2.52,0.49%,17
Bút Cushion che khuyết điểm - Mascara,8.57%,19.23%,3.81,0.43%,15
Kem che khuyết điểm - Mascara,7.43%,30.95%,6.14,0.37%,13
Dầu xả - Sữa rửa mặt,2.80%,21.05%,1.70,0.35%,12
Bút Cushion che khuyết điểm - Bút kẻ mắt,12.09%,14.10%,5.38,0.32%,11
Bút Cushion che khuyết điểm - Kem lót,11.00%,14.10%,4.90,0.32%,11
